Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
St. Martin (French part),MAF,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,CO2 emissions (kt),EN.ATM.CO2E.KT,80.674,77.007,84.341,102.676,121.011,132.012,135.679,135.679,165.015,168.682,157.681,179.683,187.017,194.351,194.351,198.018,201.685,201.685,201.685,201.685,209.019,..,..,..
Sudan,SDN,CO2 emissions (kt),EN.ATM.CO2E.KT,5559.172,5386.823,4756.099,2907.931,4444.404,4602.085,4268.388,5419.826,4697.427,5093.463,5533.503,6369.579,8118.738,9072.158,11382.368,10707.64,11503.379,12541.14,12588.811,14055.611,14172.955,..,..,..
Suriname,SUR,CO2 emissions (kt),EN.ATM.CO2E.KT,1811.498,2101.191,2112.192,2156.196,2163.53,2181.865,2130.527,2141.528,2163.53,2152.529,2126.86,2266.206,2251.538,2240.537,2291.875,2379.883,2442.222,2442.222,2442.222,2467.891,2383.55,..,..,..
Swaziland,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,425.372,326.363,264.024,132.012,484.044,454.708,341.031,1202.776,1213.777,1239.446,1188.108,1144.104,1125.769,1041.428,1030.427,1019.426,1015.759,1063.43,1092.766,1023.093,1023.093,..,..,..
Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,51128.981,53226.505,55228.687,52034.73,54539.291,50743.946,57700.245,51844.046,52977.149,51106.979,49794.193,51128.981,57425.22,54781.313,54520.956,51561.687,49570.506,48059.702,49104.797,43743.643,52515.107,..,..,..
Switzerland,CHE,CO2 emissions (kt),EN.ATM.CO2E.KT,42863.563,41998.151,43065.248,40762.372,41319.756,39233.233,39929.963,41466.436,41829.469,40700.033,39049.883,42962.572,40718.368,40204.988,40392.005,41374.761,41877.14,38019.456,40392.005,41598.448,38756.523,..,..,..
Syrian Arab Republic,SYR,CO2 emissions (kt),EN.ATM.CO2E.KT,37451.071,43193.593,44436.706,47117.283,48532.745,43996.666,44249.689,40967.724,50281.904,52379.428,51048.307,48785.768,39068.218,54286.268,51110.646,50633.936,53589.538,57428.887,67700.154,62111.646,61858.623,..,..,..
Tajikistan,TJK,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,7220.323,5170.47,2354.214,2449.556,2827.257,2152.529,2497.227,2519.229,2236.87,2291.875,1881.171,2075.522,2563.233,2438.555,2654.908,3223.293,3032.609,2893.263,2860.26,..,..,..
Tanzania,TZA,CO2 emissions (kt),EN.ATM.CO2E.KT,2372.549,2434.888,2361.548,2636.573,2445.889,3553.323,3461.648,2882.262,2555.899,2537.564,2651.241,3127.951,3589.993,3806.346,4352.729,5617.844,5958.875,6149.559,6538.261,6446.586,6846.289,..,..,..
